PC1,PC2,PC3,PC4
-0.0201232,-0.0425941,0.223058,0.740533
-0.0521103,-0.0629808,0.230006,0.761571
0.111484,-0.0219161,0.0367735,0.284712
0.207129,-0.0461157,0.0549275,0.270687
0.174491,-0.0394454,0.0506212,0.27209
0.216731,0.0229132,0.0548109,0.244039
0.170919,-0.067587,0.038883,0.274895
0.171726,-0.0454265,0.0451761,0.252454
0.191857,-0.0381208,0.0542825,0.225806
0.222698,-0.0227912,0.0609041,0.378682
0.225178,-0.0204793,0.0613795,0.370266
0.272533,-0.0202117,0.0943066,0.83871
0.171032,-0.0210998,0.134427,0.906031
0.0894193,0.0239057,0.158332,0.900421
0.00833038,-0.0270914,0.210427,0.437588
0.163502,0.0823913,0.145292,0.454418
-0.14371,-0.005103,0.281568,0.28892
-0.163465,0.427125,0.141187,0.253857
0.171989,0.165626,0.135275,0.330996
0.0831446,0.0555617,0.172847,0.342216
-0.0257177,0.00251752,0.234415,0.409537
-0.0791959,0.0186927,0.261763,0.454418
0.11204,0.208259,0.159837,0.248247
0.0152593,0.0502254,0.196713,0.314165
-0.0282334,0.130296,0.235386,0.203366
-0.0836283,-0.0021907,0.259973,0.26648
-0.164656,-0.0274466,0.346387,0.293128
-0.173507,0.0879879,0.332804,0.2777
-0.179696,-0.0956668,0.376427,0.263675
0.00461524,-0.0251589,0.182035,0.273492
-0.0296683,0.210304,0.159915,0.297335
-0.0915687,0.0917123,0.134441,0.338008
-0.128425,0.104606,0.218413,0.340813
-0.0855901,0.23358,0.148223,0.199158
0.033668,-0.0605727,0.200499,0.43899
0.049095,-0.0517516,0.189911,0.41655
0.208021,0.0941914,0.0610684,0.345021
0.197155,-0.0510557,0.0438027,0.396914
-0.132845,0.0121134,0.304855,0.576438
-0.0919275,-0.0597378,0.270487,0.546985
0.00383379,-0.0588364,0.212353,0.500701
-0.103262,0.0410062,0.24086,0.69986
-0.04262,0.103479,0.19451,0.424965
0.0915649,-0.0196726,0.163989,0.479663
-0.326716,0.327141,0.162622,0.180926
-0.370721,0.164657,0.0961284,0.0462833
-0.354309,0.0548433,0.208703,0.194951
-0.399989,0.125097,0.216487,0.115007
-0.3636,0.112677,0.237174,0.137447
-0.450228,0.110774,0.27283,0.143058
-0.0151927,-0.0914068,0.227973,0.615708
0.0807836,-0.0549736,0.168158,0.782609
-0.244632,0.0354219,0.367352,0.882188
-0.256254,-0.0621335,0.426334,0.771388
-0.17918,-0.104399,0.338112,0.98317
-0.232636,-0.0264222,0.354875,0.523142
-0.259455,-0.0978818,0.450694,0.527349
-0.263156,-0.0578892,0.407089,0.476858
0.154784,-0.024944,0.153435,0.490884
0.150571,-0.0644395,0.14779,0.472651
0.115399,-0.0670389,0.161068,0.437588
-0.0992841,-0.101706,0.284248,0.382889
0.00124678,-0.076688,0.219156,0.408135
0.0183832,-0.0115324,0.211999,0.42777
0.0155581,0.0174842,0.212193,0.368864
0.161569,-0.0412459,0.146445,0.389902
-0.150529,-0.121927,0.343872,0.502104
-0.127695,-0.0333934,0.308035,0.431978
-0.24286,-0.128507,0.442058,0.394109
-0.106672,-0.102326,0.304924,0.403927
-0.16727,-0.0996243,0.350995,0.485273
-0.0539571,-0.0359588,0.249391,0.443198
-0.0288062,-0.0483704,0.224527,0.464236
-0.0727737,-0.0130607,0.271163,0.447405
-0.0372143,-0.100329,0.217827,0.385694
-0.163336,-0.0581471,0.277581,0.431978
-0.199471,-0.120569,0.382737,0.447405
-0.15441,-0.0667352,0.332736,0.368864
-0.176182,0.0187111,0.35094,0.360449
-0.226232,-0.0899637,0.380994,0.475456
-0.136937,-0.115714,0.334658,0.396914
-0.184003,-0.111801,0.115221,0.384292
-0.104944,0.0376761,0.0937825,0.492286
-0.146208,-0.106666,0.142349,0.371669
-0.158266,-0.0608844,0.116012,0.409537
-0.148866,-0.0691976,0.147578,0.446003
-0.184739,-0.0881203,0.214767,0.446003
0.179956,0.0289736,0.126063,0.406732
0.0913223,-0.054685,0.166238,0.447405
5.60E-05,0.00379658,0.206276,0.437588
-0.000678494,0.0562462,0.207132,0.431978
-0.0270549,-0.0794133,0.241942,0.413745
-0.0675397,-0.0735125,0.283564,0.336606
-0.0285346,-0.0689012,0.252655,0.350631
0.0905574,-0.050199,0.17102,0.475456
0.302168,0.0153766,0.0881191,0.380084
0.29407,-0.0133137,0.088251,0.429173
0.280226,-0.0292734,0.098938,0.304348
0.324763,0.019123,0.0792285,0.375877
0.266789,-0.036363,0.0952158,0.325386
0.322301,-0.00560762,0.0878419,0.506311
-0.324229,0.181504,0.263639,0.204769
-0.143953,0.053459,0.2103,0.286115
-0.333713,0.0517561,0.355851,0.364656
-0.294881,-0.122508,0.530728,0.396914
-0.173216,0.0494903,0.345761,0.302945
-0.286082,-0.0123127,0.462426,0.436185
0.28572,-0.014696,0.0657384,0.388499
0.288513,-0.0630201,0.0627622,0.570827
0.332415,0.0170207,0.0829816,0.622721
0.289293,-0.0386581,0.0647109,0.54418
0.301852,0.0877964,0.0967205,0.596073
-0.00425398,-0.0692449,0.205712,0.468443
-0.0420654,-0.0592797,0.227577,0.669004
0.0960956,-0.0226332,0.154025,0.661992
-0.181042,-0.0274332,0.320115,0.59467
0.0374128,0.0181334,0.196764,0.538569
0.0207837,-0.0935631,0.203959,0.575035
-0.0563821,0.136471,0.24099,0.496494
-0.022467,-0.0828119,0.237325,0.54979
0.0819519,0.0196434,0.174488,0.608696
0.320196,0.0581735,0.0950219,0.420757
0.171227,0.115976,0.133858,0.576438
0.267922,-0.020051,0.0984967,0.591865
0.146271,0.235176,0.159037,0.381487
0.215274,0.250576,0.11568,0.392707
0.329877,0.0349399,0.0829095,0.514727
0.232669,0.0166239,0.112809,0.701262
0.227574,0.276285,0.0802635,0.329593
0.185975,0.0379299,0.127147,0.483871
0.297216,-0.0353518,0.068819,0.605891
-0.416058,-0.0953227,0.683463,0.297335
-0.438116,0.00636444,0.218736,0.274895
-0.545277,0.246968,0.190067,0
0.0139156,-0.0912768,0.21652,0.639551
-0.0927563,-0.0878182,0.293209,0.553997
-0.0867254,0.0122663,0.261846,0.490884
0.0961227,0.107355,0.16718,0.496494
-0.0903313,-0.0285575,0.27949,0.591865
-0.158445,0.105389,0.262626,0.496494
0.30797,0.0191808,0.0754747,0.402525
0.222617,0.0838512,0.0662428,0.420757
0.12776,0.00249699,0.0380131,0.446003
0.281022,-0.0147931,0.0659643,0.40533
0.248092,-0.0695771,0.0513964,0.41094
0.286924,-0.0457494,0.0627856,0.437588
0.0830825,-0.0266806,0.173606,0.475456
0.00882989,-0.0333349,0.209202,0.492286
0.0557991,0.0684669,0.189936,0.626928
0.0286266,-0.0424637,0.189651,0.603086
0.0862972,-0.0663383,0.140756,0.611501
0.182024,-0.0099179,0.136587,0.737728
0.199967,0.0465298,0.133416,0.545582
-0.0243283,0.135004,0.204278,0.608696
-0.00379127,0.0817185,0.215267,0.534362
0.245943,0.0374241,0.110296,0.570827
0.27087,-0.0317341,0.104458,0.539972
0.0360859,0.0264599,0.183123,0.423562
0.0820638,0.13935,0.171686,0.374474
0.0673677,-0.0199273,0.185217,0.434783
-0.0678065,0.00797163,0.253304,0.56101
0.0269995,0.107134,0.188818,0.458626
0.170454,0.277167,0.104668,0.281907
-0.0494191,-0.0288713,0.245966,0.394109
-0.23695,0.130231,0.292774,0.43338
-0.116366,-0.0793826,0.307947,0.446003
-0.0901967,-0.0303263,0.29534,0.339411
-0.117081,0.0437819,0.289509,0.318373
-0.176765,-0.0147279,0.307221,0.43338
-0.108113,-0.0673059,0.291659,0.600281
-0.109073,-0.0797107,0.292296,0.457223
-0.176863,0.0222745,0.334433,0.467041
-0.137925,-0.0992908,0.328733,0.521739
-0.156309,0.13362,0.262007,0.458626
-0.14098,-0.0738196,0.296626,0.556802
-0.126735,0.168459,0.237645,0.409537
-0.0696881,-0.0576385,0.243173,0.503506
-0.118953,-0.0553049,0.282976,0.546985
-0.168518,0.0876099,0.319059,0.548387
-0.0770344,0.0881909,0.225488,0.482468
-0.143205,0.138206,0.249568,0.460028
-0.201656,0.0728371,0.307714,0.510519
-0.230645,-0.0634621,0.372379,0.586255
-0.260598,-0.0733687,0.441106,0.58345
-0.13714,0.201293,0.245891,0.57784
-0.216311,-0.041659,0.382289,0.538569
0.261696,-0.0286889,0.0978525,0.70547
0.332978,-0.00273463,0.0815442,0.7223
0.229133,-0.0141364,0.113662,0.708275
0.293842,-0.0401854,0.0807333,0.650771
0.228646,-0.0308254,0.106174,0.816269
0.142035,-0.0287005,0.123286,0.518934
0.0734667,-0.0410828,0.166353,0.681627
0.130922,-0.0163033,0.137457,0.525947
0.251879,0.000409472,0.0926776,0.499299
0.218866,0.0172571,0.0561379,0.461431
-0.186344,-0.0871856,0.395883,0.330996
-0.337749,0.0200806,0.389036,0.424965
-0.377723,0.18747,0.293322,0.276297
-0.258243,0.0163177,0.389369,0.28331
-0.0270332,-0.0570541,0.230613,0.691445
-0.0641997,0.117216,0.2429,0.586255
-0.146734,-0.00599087,0.283896,0.591865
-0.150599,0.00759941,0.293409,0.469846
-0.295151,-0.0228062,0.36057,0.332398
-0.17941,-0.081826,0.343872,0.467041
-0.15278,0.0520955,0.287,0.395512
-0.225455,-0.050549,0.408347,0.453015
-0.140838,-0.0890291,0.323284,0.479663
-0.267027,-0.134944,0.518306,0.345021
-0.0927168,0.0840115,0.244329,0.381487
-0.265885,-0.0362944,0.338664,0.378682
-0.185745,-0.0336331,0.351263,0.366059
-0.107188,-0.00195912,0.26331,0.342216
-0.0579463,-0.101504,0.00695456,0.28892
-0.0491465,-0.0434835,0.0110696,0.251052
-0.0411104,-0.106195,0.00474777,0.249649
-0.0213659,-0.0886569,0.007954,0.263675
-0.015425,-0.105076,0.00560135,0.239832
-0.187513,-0.0991346,0.322398,0.41655
-0.166164,-0.0245162,0.317201,0.30014
-0.316872,0.0331988,0.272387,0.387097
-0.126185,-0.0921477,0.282073,0.360449
-0.322747,-0.0954587,0.396532,0.276297
-0.233485,-0.106687,0.329203,0.30014
0.143699,0.0316114,0.147758,0.610098
0.0445432,-0.087671,0.19607,0.57784
0.16393,-0.0631378,0.130378,0.73352
0.157069,-0.0673659,0.134557,0.656381
0.15887,-0.0591511,0.0414838,0.791024
0.172266,0.120021,0.0671537,0.454418
0.177612,0.0254733,0.0520023,0.436185
-0.193697,-0.0443747,0.332232,0.541374
-0.0505243,0.135702,0.22957,0.4446
-0.146453,0.192278,0.168385,0.31136
-0.125559,-0.077373,0.310569,0.625526
-0.0678182,-0.0486787,0.235632,0.524544
0.0996701,0.218958,0.160372,0.402525
-0.011677,-0.0403852,0.21527,0.460028
-0.0501351,0.0700471,0.241186,0.496494
-0.124058,-0.076481,0.295182,0.495091
-0.110012,-0.0090166,0.282454,0.503506
-0.227116,-0.0191723,0.303488,0.293128
-0.14394,0.0472107,0.21266,0.377279
0.126687,0.0351301,0.156125,0.318373
-0.0114966,0.0256908,0.214959,0.40533
0.0368865,-0.0273535,0.192749,0.471248
-0.0354025,-0.0753134,0.230708,0.504909
-0.362131,0.00300643,0.304005,0.373072
-0.367465,0.130577,0.274126,0.378682
-0.276925,0.132508,0.100869,0.364656
-0.340853,0.12517,0.243023,0.30575
-0.504222,0.305067,0.176592,0.747546
-0.437658,-0.0734333,0.565433,0.371669
-0.313113,0.0262193,0.348817,0.265077
-0.342939,0.117983,0.184039,0.241234
-0.211815,0.433025,0.123691,0.251052
-0.333586,0.333053,0.159535,0.267882
-0.369004,0.182,0.274441,0.377279
-0.370047,0.129163,0.132119,0.221599
-0.372323,0.313263,0.200896,0.382889
-0.487226,0.301718,0.0887886,0.295933
-0.379469,0.0691251,0.190491,0.349229
-0.0933499,-0.0238778,0.273724,0.406732
-0.190656,0.0236507,0.311719,0.340813
-0.207195,0.0640141,0.295742,0.398317
-0.169988,0.0390022,0.324347,0.401122
-0.144111,-0.11213,0.352164,0.409537
-0.186408,-0.0870357,0.352773,0.360449
-0.079352,-0.0768701,0.26617,0.360449
-0.16028,-0.00414413,0.311687,0.335203
0.234436,0.114876,0.0794498,0.524544
0.261755,-0.0551491,0.0586214,0.537167
0.326076,0.0661175,0.0832476,0.479663
0.252426,0.110913,0.0822381,0.489481
0.250161,0.069394,0.0752534,0.570827
0.322251,-0.0217857,0.0821936,0.460028
-0.234184,0.0557778,0.317774,0.401122
-0.162019,-0.0675518,0.353048,0.392707
-0.26885,0.0679226,0.339872,0.346424
-0.322898,-0.0671082,0.512879,0.381487
-0.238263,-0.0730925,0.425527,0.356241
-0.204581,0.0235613,0.344908,0.333801
-0.171902,-0.00478163,0.312833,0.338008
0.108955,0.0294503,0.164897,0.528752
0.0899061,0.046132,0.171155,0.472651
0.139318,0.117512,0.152719,0.401122
0.146025,-0.0388288,0.145052,0.482468
0.0720303,-0.0246644,0.160058,0.506311
0.119514,-0.0251942,0.158172,0.465638
0.262004,-0.0291507,0.0577164,0.486676
0.124988,0.0415677,0.0446924,0.478261
0.140357,0.021474,0.0418709,0.426367
-0.0605315,-0.01228,0.253963,0.26648
-0.151456,-0.0541598,0.335779,0.26648
-0.155028,0.00967909,0.335513,0.27209
-0.228282,0.0685424,0.376018,0.329593
-0.1785,0.123884,0.2805,0.30575
-0.199552,0.106958,0.313188,0.281907
-0.18312,-0.0174155,0.339288,0.281907
-0.274777,-0.0505766,0.471932,0.343619
0.312454,0.0115494,0.0893549,0.612903
0.155568,0.212664,0.0625437,0.608696
-0.0725284,-0.0123693,0.241077,0.5554
-0.0802626,-0.0476704,0.266485,0.605891
-0.266887,-0.0578421,0.426389,0.506311
-0.137992,0.0101019,0.304322,0.54418
-0.056093,0.00531072,0.231107,0.635344
-0.190457,0.123235,0.276545,0.58345
-0.0898469,-0.00275495,0.269662,0.391304
-0.128935,0.0886694,0.237241,0.339411
-0.00153007,-0.0558544,0.230708,0.375877
-0.00756647,-0.0771473,0.227168,0.403927
-0.152062,0.00396816,0.269513,0.318373
-0.188954,0.000623565,0.349194,0.330996
-0.263311,-0.0598452,0.447893,0.429173
-0.239535,-0.0156779,0.375649,0.41655
-0.180125,-0.0706098,0.347272,0.345021
-0.227739,0.0201881,0.316875,0.478261
-0.277484,-0.0552529,0.478151,0.423562
-0.29091,-0.000614123,0.218723,0.318373
0.0329485,-0.0782831,0.197177,0.785414
-0.0282729,-0.0451632,0.227702,0.781206
-0.039797,-0.0343028,0.231771,0.576438
-0.0852443,-0.0304881,0.229658,0.685835
-0.0280107,-0.0431301,0.213653,0.639551
-0.0959489,0.00779044,0.280601,0.413745
0.0496205,-0.097074,0.185554,0.447405
-0.00373002,-0.0978052,0.225422,0.437588
0.155712,-0.0292293,0.140657,0.525947
-0.0236678,-0.0982495,0.24025,0.42216
0.200056,0.230017,0.139942,0.446003
0.182486,-0.0348666,0.135669,0.704067
-0.189203,0.0143826,0.285668,0.398317
-0.188907,-0.0629284,0.361814,0.56101
-0.0716222,0.14716,0.217273,0.488079
-0.146074,-0.0867866,0.168183,0.471248
-0.0713965,-0.098536,0.251213,0.590463
-0.140346,-0.0860343,0.327067,0.417952
0.0879521,-0.0766463,0.172655,0.758766
0.0113449,-0.0710257,0.202191,0.704067
0.087562,0.107685,0.156681,0.490884
0.10481,0.0604352,0.161945,0.568022
-0.0598867,-0.0882625,0.269334,0.586255
0.00856373,0.014347,0.227923,0.810659
-0.0688885,0.0490536,0.187221,0.624123
0.0650153,-0.0560731,0.167513,0.712482
0.25571,0.22814,0.0968836,0.380084
0.138779,-0.0499079,0.144406,0.558205
0.103734,0.293818,0.102007,0.190743
0.0738147,0.0684639,0.119519,0.347826
0.111312,-0.0180785,0.153745,0.430575
0.316914,0.0175525,0.0704327,0.521739
0.175284,-0.0341844,0.127412,0.457223
0.108481,0.00852389,0.157889,0.468443
0.0567381,-0.0547569,0.182089,0.460028
0.0575844,0.0258012,0.179883,0.40533
0.30426,-0.0559595,0.0654665,0.30575
0.188485,0.141064,0.0678398,0.255259
0.298994,0.00159355,0.0733014,0.231417
0.263741,-0.0309927,0.0597933,0.224404
0.240231,-0.0493207,0.0611932,0.256662
0.288523,-0.0498572,0.0627512,0.235624
0.109358,-0.012987,0.0314981,0.255259
0.185921,-0.0082872,0.0481837,0.274895
0.260316,0.0638972,0.102972,0.429173
0.280917,0.0902725,0.101979,0.510519
0.255955,0.327778,0.0942002,0.31136
0.307375,0.0141538,0.0886894,0.481066
0.164695,0.0684183,0.148511,0.775596
-0.370728,0.0539985,0.153537,0.185133
-0.373724,-0.0604922,0.373419,0.291725
-0.416971,-0.0795987,0.594171,0.381487
-0.41178,0.0449359,0.367383,0.318373
-0.488602,0.046972,0.318417,0.175316
-0.532908,0.0937457,0.355742,0.16129
-0.518339,-0.0981799,0.77187,0.211781
-0.530403,-0.0745631,1,0.225806
-0.478763,-0.025904,0.569158,0.259467
-0.519598,0.092231,0.318589,0.197756
0.14974,-0.0311974,0.0413671,0.256662
0.237973,-0.0410547,0.0585757,0.231417
-0.331456,0.0553038,0.229116,0.290323
-0.46456,-0.141193,0.702098,0.273492
-0.321123,-0.0819347,0.434699,0.251052
-0.357163,0.0548905,0.388921,0.297335
0.0210979,0.211956,0.195246,0.43899
-0.0528161,0.0339624,0.242279,0.475456
-0.113443,-0.0620162,0.293024,0.461431
0.0267787,0.0327964,0.199524,0.472651
-0.0712868,-0.0686666,0.256747,0.535764
-0.0137559,0.26605,0.163503,0.329593
-0.450074,-0.0305244,0.498497,0.280505
-0.412205,-0.0570267,0.617041,0.255259
-0.350193,0.0359622,0.417502,0.215989
0.0542599,-0.0524972,0.0260671,0.462833
0.134207,0.0563997,0.0528772,0.354839
-0.0396854,-0.0447939,0.244446,0.43338
0.0123932,-0.0794717,0.212825,0.471248
0.0478447,0.279291,0.176451,0.42216
-0.0628727,-0.0464072,0.224542,0.54418
0.0132692,-0.0374785,0.205222,0.493689
0.0449942,-0.084028,0.193217,0.436185
-0.0167184,-0.107009,0.00773821,0.2777
0.00734934,-0.0925327,0.0124501,0.279102
-0.0146982,0.183074,0.20874,0.394109
-0.113669,-0.0671872,0.245229,0.525947
-0.0141294,0.0186853,0.222611,0.469846
-0.0688135,-0.0678267,0.262032,0.409537
-0.128019,0.000640231,0.295083,0.492286
-0.107852,-0.0839374,0.267243,0.541374
-0.0057339,-0.0368824,0.213636,0.352034
0.232909,0.00169321,0.069828,0.26648
0.214895,-0.0630281,0.0436919,0.290323
-0.0178629,-0.0900363,0.00849697,0.27209
-0.0628784,-0.103516,0.0038406,0.27209
-0.00546928,-0.0915591,0.00666411,0.274895
-0.0956087,-0.10978,0,0.284712
-0.0151383,-0.0897222,0.0158087,0.28331
-0.0663242,-0.0886139,0.00969373,0.286115
-0.135947,-0.0348948,0.262742,0.490884
-0.177868,0.0236238,0.335815,0.377279
-0.256088,-0.00269295,0.304234,0.402525
-0.17567,0.0824223,0.277551,0.392707
-0.242887,0.0297325,0.348709,0.447405
-0.161441,-0.0211711,0.321982,0.590463
-0.116751,0.095779,0.245112,0.426367
-0.131598,0.055308,0.2457,0.472651
-0.00422204,0.034896,0.222211,0.371669
-0.222296,-0.00879408,0.340336,0.539972
-0.136768,0.0421245,0.26756,0.423562
-0.181445,0.103939,0.28036,0.392707
-0.0137044,0.0912513,0.198351,0.426367
-0.093036,-0.0105423,0.263561,0.415147
-0.0112618,-0.00125497,0.229418,0.387097
-0.218459,0.001232,0.309978,0.403927
-0.0266375,0.154067,0.156084,0.371669
-0.142175,-0.0208655,0.29906,0.490884
-0.100499,-0.0741016,0.297685,0.5554
0.0184079,0.212274,0.180359,0.538569
0.0587812,-0.074202,0.19131,0.725105
0.245972,-0.0438268,0.115028,0.371669
0.081466,0.0294293,0.17336,0.388499
0.115948,-0.0626433,0.167838,0.527349
0.0810924,-0.09647,0.178207,0.492286
0.155253,-0.0371651,0.150645,0.467041
0.122504,-0.0725752,0.155688,0.429173
-0.0509559,-0.104181,0.254084,0.671809
-0.117713,-0.0951283,0.317532,0.396914
-0.128031,-0.0366544,0.314361,0.451613
-0.177519,0.0448419,0.324502,0.304348
-0.21207,0.0427263,0.327951,0.373072
-0.286448,-0.0414982,0.434787,0.304348
-0.180896,-0.0464281,0.351343,0.374474
-0.156276,0.0316467,0.27896,0.354839
-0.204442,0.136886,0.23947,0.375877
-0.230754,-0.102819,0.43189,0.511921
-0.200748,-0.10048,0.411363,0.412342
-0.0238897,-0.0513654,0.242892,0.371669
-0.0315174,-0.0862557,0.250678,0.424965
-0.253731,0.0466417,0.310055,0.396914
-0.277598,0.350083,0.188467,0.368864
-0.258828,0.000907429,0.327894,0.381487
-0.22959,0.0727614,0.284803,0.447405
-0.26238,0.0101103,0.409485,0.500701
-0.315686,0.147816,0.127259,0.207574
0.127924,-0.0821908,0.156223,0.451613
0.125517,0.0299261,0.158956,0.458626
0.224836,-0.0225527,0.1188,0.381487
0.288204,-0.0397882,0.0988519,0.391304
0.260301,-0.051521,0.110417,0.469846
0.0611817,-0.0747982,0.169069,0.395512
0.25565,-0.0223024,0.111555,0.394109
-0.210933,-0.0675371,0.372402,0.207574
-0.0976308,-0.0462233,0.291572,0.224404
0.201679,0.124604,0.125214,0.210379
0.146278,-0.0516971,0.140673,0.269285
0.165062,-0.0267465,0.146135,0.239832
-0.210432,-0.0577854,0.373401,0.359046
-0.309166,-0.0295203,0.483389,0.461431
-0.22571,0.0143727,0.339444,0.343619
-0.167475,0.138782,0.229031,0.366059
-0.164332,0.00504761,0.290049,0.360449
-0.232817,0.0221771,0.325202,0.354839
-0.125733,0.108711,0.24684,0.382889
-0.231593,0.0723877,0.269495,0.394109
-0.104474,-0.00420517,0.283128,0.520337
-0.155337,0.0589111,0.231646,0.461431
-0.243409,-0.0301576,0.404065,0.426367
-0.136132,0.0262135,0.294583,0.552595
-0.00904897,0.00155804,0.221766,0.403927
0.0675486,-0.0256722,0.185676,0.389902
-0.0730935,-0.0757451,0.275608,0.43899
-0.00566902,-0.0898894,0.224647,0.497896
-0.0305701,-0.0701332,0.242835,0.43899
-0.111682,-0.0199157,0.276035,0.56101
-0.24542,-0.0587986,0.430586,0.54979
-0.307411,-0.0505606,0.362747,0.506311
-0.285864,-0.0141722,0.378678,0.551192
-0.291424,-0.0850833,0.530469,0.458626
-0.213701,0.0453035,0.323998,0.4446
-0.187073,-0.00921763,0.32974,0.469846
-0.027539,0.0710473,0.234549,0.4446
-0.0160048,-0.109574,0.233493,0.43899
-0.096003,0.0206755,0.199556,0.440393
-0.0588492,0.0550327,0.245953,0.409537
0.0123354,-0.0131392,0.215999,0.359046
-0.167098,-0.0692524,0.354471,0.309958
-0.163042,-0.110849,0.329676,0.373072
-0.121856,0.0433814,0.281171,0.380084
0.0603409,-0.0260896,0.173063,0.59467
-0.203806,-0.0179018,0.339174,0.356241
-0.0788801,-0.0385053,0.264541,0.41655
-0.0320147,-0.00856079,0.206157,0.472651
-0.237568,-0.0369467,0.407653,0.364656
-0.262849,-0.0772793,0.482566,0.389902
-0.222285,-0.0234818,0.375235,0.377279
-0.274131,-0.0480425,0.380353,0.395512
-0.288807,-0.131244,0.563115,0.412342
-0.264786,-0.00534858,0.427827,0.363254
0.0663338,-0.0522111,0.189399,0.500701
-0.29507,0.0265817,0.415339,0.573633
-0.29815,-0.117882,0.56505,0.496494
-0.374222,-0.0151656,0.494947,0.434783
-0.328577,-0.0432827,0.461229,0.403927
-0.215283,0.0375033,0.0819384,0.446003
-0.216727,-0.00866188,0.178354,0.375877
0.109136,-0.0379967,0.169537,0.371669
-0.0400072,-0.0591872,0.239901,0.429173
0.0382147,-0.0328833,0.202027,0.509116
-0.0184237,0.112431,0.22625,0.323983
0.0723237,0.266956,0.172361,0.223001
0.0750403,-0.00842529,0.183581,0.353436
0.291818,0.174363,0.111126,0.485273
0.0718168,0.0603274,0.0353068,0.381487
0.246659,0.0544887,0.0957613,0.325386
0.116189,-0.000270401,0.157779,0.315568
0.218659,-0.00848747,0.10916,0.323983
0.319642,0.0135707,0.0752233,0.350631
0.102241,-0.0412529,0.145258,0.309958
-0.137838,0.119011,0.226146,0.723703
-0.133635,-0.0351974,0.282782,0.677419
-0.0383142,-0.00857561,0.250354,0.619916
-0.0628753,0.00354615,0.220185,0.793829
-0.124991,-0.0919114,0.105675,0.453015
-0.103468,-0.0309435,0.279406,0.58906
0.244154,-0.0385874,0.113704,0.584853
0.242876,0.0544744,0.109714,0.687237
0.258426,-0.0170029,0.108279,0.516129
0.275205,0.0597778,0.0987107,0.516129
-0.0564285,0.0119617,0.249917,0.580645
-0.0570466,-0.107674,0.259366,0.468443
-0.0318266,-0.0271977,0.201437,0.576438
-0.241744,0.104474,0.190051,0.496494
-0.048752,-0.112999,0.251145,0.423562
-0.149884,0.0440846,0.270877,0.499299
-0.237834,-0.0538381,0.389511,0.395512
-0.20203,0.0156651,0.348465,0.338008
-0.29395,0.226375,0.208298,0.312763
-0.280662,0.085638,0.31044,0.430575
-0.292891,-0.0436435,0.376912,0.373072
-0.228979,-0.0502554,0.384905,0.42777
-0.00271587,-0.0536886,0.211681,0.744741
-0.0316519,-0.0529538,0.19979,0.757363
